,SUBDIVISION,YEAR,ANNUAL,J-J-A-S,Oct-Nov-Dec
0,TAMIL NADU,1901,960.4,350.1,415.0
1,TAMIL NADU,1902,1138.4,306.79999999999995,622.9000000000001
2,TAMIL NADU,1903,1163.8,456.5,531.8
3,TAMIL NADU,1904,663.3,250.0,235.89999999999998
4,TAMIL NADU,1905,821.1000000000001,264.1,377.3
5,TAMIL NADU,1906,990.1,380.09999999999997,479.59999999999997
6,TAMIL NADU,1907,885.6,291.9,423.59999999999997
7,TAMIL NADU,1908,765.0,274.29999999999995,317.20000000000005
8,TAMIL NADU,1909,954.5,379.6,253.5
9,TAMIL NADU,1910,943.6,394.0,425.3
10,TAMIL NADU,1911,815.1,270.4,431.9
11,TAMIL NADU,1912,904.1,282.4,527.4
12,TAMIL NADU,1913,879.0000000000001,275.5,505.2
13,TAMIL NADU,1914,953.3000000000001,306.1,542.3
14,TAMIL NADU,1915,988.6,400.0,402.4
15,TAMIL NADU,1916,897.5,423.3,387.49999999999994
16,TAMIL NADU,1917,948.3,436.7,336.5
17,TAMIL NADU,1918,871.8000000000001,182.6,485.30000000000007
18,TAMIL NADU,1919,1028.6000000000001,352.0,523.1999999999999
19,TAMIL NADU,1920,1154.3,315.7,569.0
20,TAMIL NADU,1921,979.3,356.09999999999997,368.5
21,TAMIL NADU,1922,1080.3,256.59999999999997,626.2
22,TAMIL NADU,1923,834.1,213.8,374.3
23,TAMIL NADU,1924,895.2,426.70000000000005,301.20000000000005
24,TAMIL NADU,1925,1013.5,258.3,560.7
25,TAMIL NADU,1926,815.7,303.2,296.8
26,TAMIL NADU,1927,830.0,357.8,291.0
27,TAMIL NADU,1928,970.8999999999999,271.5,491.6
28,TAMIL NADU,1929,977.6999999999999,317.9,442.79999999999995
29,TAMIL NADU,1930,1275.3999999999999,268.7,671.3000000000001
30,TAMIL NADU,1931,1039.8,304.5,599.5
31,TAMIL NADU,1932,1109.8,324.6,572.8
32,TAMIL NADU,1933,1010.9,372.0,432.20000000000005
33,TAMIL NADU,1934,839.6999999999999,225.5,418.49999999999994
34,TAMIL NADU,1935,893.8,330.6,426.3
35,TAMIL NADU,1936,944.5,323.20000000000005,402.9
36,TAMIL NADU,1937,1020.0000000000001,317.2,492.70000000000005
37,TAMIL NADU,1938,782.9999999999999,417.50000000000006,178.6
38,TAMIL NADU,1939,1055.8,283.0,518.6
39,TAMIL NADU,1940,1178.5000000000002,334.8,615.1999999999999
40,TAMIL NADU,1941,1006.8,367.79999999999995,472.0
41,TAMIL NADU,1942,847.3000000000001,338.9,361.4
42,TAMIL NADU,1943,1187.4,298.4,471.2
43,TAMIL NADU,1944,1227.6,403.8,608.5
44,TAMIL NADU,1945,784.0,265.8,390.20000000000005
45,TAMIL NADU,1946,1294.1000000000001,344.6,760.2
46,TAMIL NADU,1947,939.4,420.6,256.4
47,TAMIL NADU,1948,906.6,318.40000000000003,408.20000000000005
