,SUBDIVISION,YEAR,ANNUAL,J-J-A-S,Oct-Nov-Dec
1817,WEST RAJASTHAN,1901,158.8,142.2,2.7
1818,WEST RAJASTHAN,1902,195.5,189.2,1.8
1819,WEST RAJASTHAN,1903,307.20000000000005,293.9,0.6
1820,WEST RAJASTHAN,1904,167.9,121.4,11.399999999999999
1821,WEST RAJASTHAN,1905,114.4,100.1,0.9
1822,WEST RAJASTHAN,1906,269.59999999999997,219.29999999999998,3.0999999999999996
1823,WEST RAJASTHAN,1907,353.3,307.7,0.1
1824,WEST RAJASTHAN,1908,582.0,559.9,3.0
1825,WEST RAJASTHAN,1909,426.2,375.79999999999995,16.0
1826,WEST RAJASTHAN,1910,293.4,286.59999999999997,0.5
1827,WEST RAJASTHAN,1911,138.9,88.5,8.0
1828,WEST RAJASTHAN,1912,279.79999999999995,249.6,8.7
1829,WEST RAJASTHAN,1913,248.09999999999997,194.70000000000002,14.799999999999999
1830,WEST RAJASTHAN,1914,302.3,279.3,7.1
1831,WEST RAJASTHAN,1915,147.3,73.4,31.1
1832,WEST RAJASTHAN,1916,421.7,381.6,20.0
1833,WEST RAJASTHAN,1917,768.8,617.4,78.8
1834,WEST RAJASTHAN,1918,62.2,57.4,0.5
1835,WEST RAJASTHAN,1919,305.0,270.0,6.4
1836,WEST RAJASTHAN,1920,248.6,192.79999999999998,0.0
1837,WEST RAJASTHAN,1921,218.0,216.79999999999998,1.1
1838,WEST RAJASTHAN,1922,244.89999999999998,234.5,4.0
1839,WEST RAJASTHAN,1923,273.3999999999999,249.7,4.800000000000001
1840,WEST RAJASTHAN,1924,297.0,269.9,11.299999999999999
1841,WEST RAJASTHAN,1925,169.60000000000002,158.8,2.6
1842,WEST RAJASTHAN,1926,440.2,392.6,0.3
1843,WEST RAJASTHAN,1927,332.49999999999994,296.59999999999997,22.7
1844,WEST RAJASTHAN,1928,272.1,247.3,18.5
1845,WEST RAJASTHAN,1929,303.29999999999995,282.29999999999995,4.7
1846,WEST RAJASTHAN,1930,230.0,200.70000000000002,6.3999999999999995
1847,WEST RAJASTHAN,1931,395.3,363.7,17.0
1848,WEST RAJASTHAN,1932,265.1,251.1,0.6
1849,WEST RAJASTHAN,1933,376.20000000000005,335.7,0.6
1850,WEST RAJASTHAN,1934,322.4,309.2,2.4
1851,WEST RAJASTHAN,1935,256.7,226.89999999999998,6.2
1852,WEST RAJASTHAN,1936,265.40000000000003,246.60000000000002,11.6
1853,WEST RAJASTHAN,1937,292.40000000000003,250.8,12.299999999999999
1854,WEST RAJASTHAN,1938,183.49999999999997,174.79999999999998,1.2000000000000002
1855,WEST RAJASTHAN,1939,137.4,103.8,0.0
1856,WEST RAJASTHAN,1940,292.4,253.50000000000003,2.0999999999999996
1857,WEST RAJASTHAN,1941,224.60000000000002,200.79999999999998,3.1999999999999997
1858,WEST RAJASTHAN,1942,338.90000000000003,299.4,3.5999999999999996
1859,WEST RAJASTHAN,1943,295.5,290.6,0.3
1860,WEST RAJASTHAN,1944,525.0000000000001,482.09999999999997,1.2000000000000002
1861,WEST RAJASTHAN,1945,363.9,323.5,0.4
1862,WEST RAJASTHAN,1946,223.0,214.29999999999998,4.6
1863,WEST RAJASTHAN,1947,253.20000000000002,241.8,6.5
1864,WEST RAJASTHAN,1948,233.5,186.70000000000002,2.4
1865,WEST RAJASTHAN,1949,224.7,214.89999999999998,1.4
1866,WEST RAJASTHAN,1950,278.29999999999995,273.0,0.0
1867,WEST RAJASTHAN,1951,179.90000000000003,137.9,14.0
1868,WEST RAJASTHAN,1952,267.20000000000005,259.90000000000003,0.7
1869,WEST RAJASTHAN,1953,304.30000000000007,290.70000000000005,0.4
1870,WEST RAJASTHAN,1954,250.5,231.10000000000002,3.0
1871,WEST RAJASTHAN,1955,391.3,352.59999999999997,21.3
1872,WEST RAJASTHAN,1956,374.1,317.1,46.5
1873,WEST RAJASTHAN,1957,267.29999999999995,217.29999999999998,9.7
1874,WEST RAJASTHAN,1958,264.1,233.3,24.7
1875,WEST RAJASTHAN,1959,335.4000000000001,306.20000000000005,11.2
1876,WEST RAJASTHAN,1960,217.79999999999998,206.7,6.1
1877,WEST RAJASTHAN,1961,400.3,365.4,4.9
1878,WEST RAJASTHAN,1962,262.40000000000003,246.9,2.3000000000000003
1879,WEST RAJASTHAN,1963,174.5,153.0,10.3
1880,WEST RAJASTHAN,1964,337.40000000000003,321.2,0.7
1881,WEST RAJASTHAN,1965,215.20000000000002,193.8,3.5
1882,WEST RAJASTHAN,1966,252.90000000000003,226.0,2.1
1883,WEST RAJASTHAN,1967,340.3,248.5,28.7
1884,WEST RAJASTHAN,1968,141.99999999999997,122.3,0.7
1885,WEST RAJASTHAN,1969,118.89999999999999,110.8,1.1
1886,WEST RAJASTHAN,1970,355.7,326.20000000000005,0.2
1887,WEST RAJASTHAN,1971,251.70000000000002,220.50000000000003,2.2
1888,WEST RAJASTHAN,1972,185.9,178.7,1.5
1889,WEST RAJASTHAN,1973,454.8,440.7,2.2
1890,WEST RAJASTHAN,1974,164.3,132.8,7.5
1891,WEST RAJASTHAN,1975,553.9000000000001,522.2,26.7
1892,WEST RAJASTHAN,1976,425.1,390.4,13.2
1893,WEST RAJASTHAN,1977,389.20000000000005,362.5,1.2999999999999998
1894,WEST RAJASTHAN,1978,379.5999999999999,345.59999999999997,12.6
1895,WEST RAJASTHAN,1979,308.4,226.2,19.8
1896,WEST RAJASTHAN,1980,238.29999999999998,206.79999999999998,19.0
1897,WEST RAJASTHAN,1981,248.5,187.29999999999998,36.8
1898,WEST RAJASTHAN,1982,311.79999999999995,203.0,12.200000000000001
1899,WEST RAJASTHAN,1983,469.30000000000007,380.20000000000005,10.0
1900,WEST RAJASTHAN,1984,203.29999999999998,198.89999999999998,0.30000000000000004
1901,WEST RAJASTHAN,1985,197.3,169.29999999999998,7.3
1902,WEST RAJASTHAN,1986,204.2,164.0,0.6
1903,WEST RAJASTHAN,1987,143.0,90.7,3.7
1904,WEST RAJASTHAN,1988,280.4,264.59999999999997,3.8000000000000003
1905,WEST RAJASTHAN,1989,248.2,236.2,0.9
1906,WEST RAJASTHAN,1990,445.0,396.09999999999997,4.4
1907,WEST RAJASTHAN,1991,179.09999999999997,152.5,1.8
1908,WEST RAJASTHAN,1992,425.79999999999995,394.9,6.4
1909,WEST RAJASTHAN,1993,293.5,275.4,1.7
1910,WEST RAJASTHAN,1994,415.4,391.4,0.0
1911,WEST RAJASTHAN,1995,367.8,331.50000000000006,13.6
1912,WEST RAJASTHAN,1996,307.79999999999995,271.9,3.7
1913,WEST RAJASTHAN,1997,345.20000000000005,246.8,60.7
1914,WEST RAJASTHAN,1998,279.6,201.6,58.300000000000004
1915,WEST RAJASTHAN,1999,204.29999999999998,147.7,7.6
1916,WEST RAJASTHAN,2000,235.39999999999998,225.09999999999997,1.6
1917,WEST RAJASTHAN,2001,285.3,243.0,7.3
1918,WEST RAJASTHAN,2002,92.19999999999999,67.1,8.6
1919,WEST RAJASTHAN,2003,368.09999999999997,341.1,0.30000000000000004
1920,WEST RAJASTHAN,2004,196.79999999999995,163.29999999999998,20.3
1921,WEST RAJASTHAN,2005,260.6,215.39999999999998,0.1
1922,WEST RAJASTHAN,2006,361.3,324.5,8.2
1923,WEST RAJASTHAN,2007,310.70000000000005,246.7,1.0
1924,WEST RAJASTHAN,2008,324.09999999999997,269.5,9.100000000000001
1925,WEST RAJASTHAN,2009,160.5,139.79999999999998,0.5
1926,WEST RAJASTHAN,2010,473.3,439.3,26.2
1927,WEST RAJASTHAN,2011,418.70000000000005,396.00000000000006,0.1
1928,WEST RAJASTHAN,2012,327.29999999999995,304.4,2.5
1929,WEST RAJASTHAN,2013,389.5,338.99999999999994,11.1
1930,WEST RAJASTHAN,2014,302.4,262.6,0.7
1931,WEST RAJASTHAN,2015,458.50000000000006,384.0,1.2000000000000002
1932,EAST RAJASTHAN,1901,412.6,362.9,10.600000000000001
1933,EAST RAJASTHAN,1902,578.1999999999999,544.5,17.2
1934,EAST RAJASTHAN,1903,686.0999999999999,651.4,17.8
1935,EAST RAJASTHAN,1904,694.5,613.3,22.0
1936,EAST RAJASTHAN,1905,279.90000000000003,259.6,0.6
1937,EAST RAJASTHAN,1906,647.3,611.3,4.9
1938,EAST RAJASTHAN,1907,551.6999999999999,475.7,0.0
1939,EAST RAJASTHAN,1908,870.1000000000001,845.5,1.7
1940,EAST RAJASTHAN,1909,781.8,704.6,22.5
1941,EAST RAJASTHAN,1910,685.3,623.0,50.2
1942,EAST RAJASTHAN,1911,420.29999999999995,359.29999999999995,27.8
1943,EAST RAJASTHAN,1912,655.3,621.6,8.9
1944,EAST RAJASTHAN,1913,498.2,423.29999999999995,18.5
1945,EAST RAJASTHAN,1914,676.4999999999999,647.0,19.9
1946,EAST RAJASTHAN,1915,401.59999999999997,242.0,69.89999999999999
1947,EAST RAJASTHAN,1916,845.1999999999999,805.0999999999999,26.599999999999998
1948,EAST RAJASTHAN,1917,1350.5,1132.0,100.1
1949,EAST RAJASTHAN,1918,273.6,260.20000000000005,3.7
1950,EAST RAJASTHAN,1919,786.8999999999999,705.8,31.8
1951,EAST RAJASTHAN,1920,596.4999999999999,534.9999999999999,0.1
1952,EAST RAJASTHAN,1921,547.7,527.5,1.7
